,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
100,Luca Dürholtz,de GER,MF,Elversberg,29-138,1993,9,3,427,4.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a5483c84
101,Michael Eberwein,de GER,MFFW,Dortmund II,26-298,1996,10,10,887,9.9,0,2,0,0,0,2,0,0.00,0.20,0.20,0.00,0.20,Matches,da3d3129
102,Steffen Eder,de GER,DF,SpVgg Bayreuth,25-247,1997,4,3,292,3.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,d7f0614c
103,Kevin Ehlers,de GER,DFMF,Dresden,21-345,2001,12,9,866,9.6,1,0,1,0,0,2,0,0.10,0.00,0.10,0.10,0.10,Matches,e34c2bb0
104,Noel Eichinger,de GER,FW,Zwickau,21-154,2001,8,2,336,3.7,1,1,1,0,0,0,0,0.27,0.27,0.54,0.27,0.54,Matches,c8e95a0a
105,Thomas Eisfeld,de GER,MF,Rot-Weiss Essen,29-350,1993,6,3,318,3.5,0,1,0,0,0,1,0,0.00,0.28,0.28,0.00,0.28,Matches,9f3796f1
106,Chinedu Ekene,de GER,FWMF,MSV Duisburg,23-178,1999,15,10,908,10.1,1,0,1,0,0,1,0,0.10,0.00,0.10,0.10,0.10,Matches,b08087fd
107,Baris Ekincier,az AZE,MFFW,SV Waldhof,23-285,1999,12,7,585,6.5,2,0,2,0,0,1,0,0.31,0.00,0.31,0.31,0.31,Matches,9159835a
108,Rodney Elongo-Yombo,de GER,MFDF,Dortmund II,21-160,2001,11,5,491,5.5,1,0,1,0,0,2,1,0.18,0.00,0.18,0.18,0.18,Matches,f98df46a
109,Erik Engelhardt,de GER,FWMF,Osnabrück,24-260,1998,12,7,661,7.3,4,1,4,0,0,1,0,0.54,0.14,0.68,0.54,0.68,Matches,9056cc65
110,Marcel Engelhardt,de GER,GK,Zwickau,29-273,1993,5,5,450,5.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,9b5d0904
111,Yannik Engelhardt,de GER,MF,SC Freiburg II,21-330,2001,6,5,479,5.3,1,0,1,0,0,0,0,0.19,0.00,0.19,0.19,0.19,Matches,fac66db3
112,Simon Engelmann,de GER,FW,Rot-Weiss Essen,33-287,1989,11,9,817,9.1,4,3,4,0,0,2,0,0.44,0.33,0.77,0.44,0.77,Matches,38ad4be8
113,Lawrence Ennali,de GER,MFFW,Rot-Weiss Essen,20-302,2002,17,13,1099,12.2,2,0,2,0,0,4,0,0.16,0.00,0.16,0.16,0.16,Matches,f77a051b
114,Aday Ercan,de GER,MF,Dortmund II,22-132,2000,4,1,88,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,767eff4b
115,Dominik Ernst,de GER,DFMF,Saarbrücken,32-148,1990,3,3,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,52071fcf
116,Brooklyn Ezeh,de GER,MFDF,Wehen,21-194,2001,16,16,1402,15.6,0,5,0,0,0,5,0,0.00,0.32,0.32,0.00,0.32,Matches,cd0252a2
117,Cottrell Ezekwem,de GER,DF,Verl,23-235,1999,2,0,22,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,edb5a019
118,Kimberly Ezekwem,de GER,DF,SC Freiburg II,21-198,2001,1,1,,0.0,0,0,0,0,0,0,1,,,,,,Matches,56e6a1c9
119,Simon Fabio Stehle,de GER,FWMF,Viktoria Köln,21-108,2001,17,8,752,8.4,2,0,2,0,0,1,0,0.24,0.00,0.24,0.24,0.24,Matches,c5ce9a51
120,Philip Fahrner,de GER,MFDF,SC Freiburg II,20-001,2003,12,9,811,9.0,1,1,1,0,0,1,0,0.11,0.11,0.22,0.11,0.22,Matches,4ac2d287
121,Clemens Fandrich,de GER,MFDF,Rot-Weiss Essen,31-358,1991,10,3,341,3.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2f0cd69e
122,Amin Farouk,de GER,MF,Wehen,19-165,2003,2,0,7,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,347fc19c
123,Morgan Faßbender,de GER,MFFW,Meppen,24-077,1998,14,8,804,8.9,2,1,2,0,0,3,0,0.22,0.11,0.34,0.22,0.34,Matches,aedc3dfd
124,Gino Fechner,de GER,MFDF,Wehen,25-120,1997,14,8,747,8.3,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,93d665dc
125,Jonas Fedl,de GER,DF,Meppen,23-332,1999,16,16,1373,15.3,0,0,0,0,0,8,0,0.00,0.00,0.00,0.00,0.00,Matches,a63f909a
126,Mike Feigenspan,de GER,FW,Meppen,27-151,1995,9,1,242,2.7,0,1,0,0,0,0,0,0.00,0.37,0.37,0.00,0.37,Matches,72d3ed8d
127,Manuel Feil,de GER,MF,Elversberg,28-087,1994,17,17,1342,14.9,3,7,3,0,0,1,0,0.20,0.47,0.67,0.20,0.67,Matches,9341203b
128,Robin Fellhauer,de GER,DF,Elversberg,24-347,1998,16,16,1440,16.0,2,4,2,0,0,3,0,0.12,0.25,0.37,0.12,0.37,Matches,b6ce3e6c
129,Rolf Feltscher,ve VEN,DF,MSV Duisburg,32-089,1990,3,3,260,2.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,27baf026
130,Christoph Fenninger,de GER,MFFW,SpVgg Bayreuth,27-236,1995,9,2,232,2.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,7fa7f576
131,Bradley Fink,ch SUI,FW,Dortmund II,19-261,2003,4,4,305,3.4,1,0,1,0,0,0,0,0.30,0.00,0.30,0.30,0.30,Matches,f2b04191
132,Kolbeinn Finnsson,is ISL,DF,Dortmund II,23-131,1999,12,10,874,9.7,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,499f3876
133,Tobias Fleckstein,de GER,DF,MSV Duisburg,23-254,1999,5,2,215,2.4,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,fa96e86d
134,Dominik Franke,de GER,DF,Ingolstadt 04,24-090,1998,17,15,1272,14.1,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,708401fc
135,Mike Frantz,de GER,MFDF,Saarbrücken,36-081,1986,12,5,441,4.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,482b70ad
136,Alexander Freitag,de GER,MF,1860 Munich,23-325,1999,1,0,16,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,01f474b9
137,Marlon Frey,de GER,MFFW,MSV Duisburg,26-285,1996,13,6,539,6.0,0,1,0,0,0,0,0,0.00,0.17,0.17,0.00,0.17,Matches,c9ab6b68
138,Davy Frick,de GER,DFMF,Zwickau,32-273,1990,15,14,1258,14.0,1,0,1,0,0,2,1,0.07,0.00,0.07,0.07,0.07,Matches,02b517c8
139,Moritz Fritz,de GER,MFDF,Viktoria Köln,29-172,1993,15,13,1153,12.8,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,8d5d6481
140,Kianz Froese,ca CAN,FWMF,Wehen,26-262,1996,12,5,567,6.3,3,2,3,0,0,1,0,0.48,0.32,0.79,0.48,0.79,Matches,b4585578
141,Seymour Fünger,de GER,DF,Hallescher,20-230,2002,8,1,158,1.8,1,0,1,0,0,1,0,0.57,0.00,0.57,0.57,0.57,Matches,cef78c68
142,Marius Funk,de GER,GK,Ingolstadt 04,27-002,1996,16,16,1440,16.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,86314793
143,Guillerme Furrer,ch SUI,FW,SC Freiburg II,21-340,2001,10,0,210,2.3,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,84269925
